xl;xu;x;relative_error;tol;iter;function;method
4.4000000000;4.5500000000;4.5500000000;3.2967032967;0.0001000000;1;(x/1) - tan(x);bissection
4.4750000000;4.5500000000;4.4750000000;1.6759776536;0.0001000000;2;(x/1) - tan(x);bissection
4.4750000000;4.5125000000;4.5125000000;0.8310249307;0.0001000000;3;(x/1) - tan(x);bissection
4.4750000000;4.4937500000;4.4937500000;0.4172461752;0.0001000000;4;(x/1) - tan(x);bissection
4.4843750000;4.4937500000;4.4843750000;0.2090592334;0.0001000000;5;(x/1) - tan(x);bissection
4.4890625000;4.4937500000;4.4890625000;0.1044204664;0.0001000000;6;(x/1) - tan(x);bissection
4.4914062500;4.4937500000;4.4914062500;0.0521829883;0.0001000000;7;(x/1) - tan(x);bissection
4.4925781250;4.4937500000;4.4925781250;0.0260846883;0.0001000000;8;(x/1) - tan(x);bissection
4.4931640625;4.4937500000;4.4931640625;0.0130406433;0.0001000000;9;(x/1) - tan(x);bissection
4.4931640625;4.4934570313;4.4934570313;0.0065198966;0.0001000000;10;(x/1) - tan(x);bissection
4.4933105469;4.4934570313;4.4933105469;0.0032600546;0.0001000000;11;(x/1) - tan(x);bissection
4.4933837891;4.4934570313;4.4933837891;0.0016300007;0.0001000000;12;(x/1) - tan(x);bissection
7.3750000000;7.7500000000;7.3750000000;5.0847457627;0.0001000000;1;(x/1) - tan(x);bissection
7.5625000000;7.7500000000;7.5625000000;2.4793388430;0.0001000000;2;(x/1) - tan(x);bissection
7.6562500000;7.7500000000;7.6562500000;1.2244897959;0.0001000000;3;(x/1) - tan(x);bissection
7.7031250000;7.7500000000;7.7031250000;0.6085192698;0.0001000000;4;(x/1) - tan(x);bissection
7.7031250000;7.7265625000;7.7265625000;0.3033367037;0.0001000000;5;(x/1) - tan(x);bissection
7.7148437500;7.7265625000;7.7148437500;0.1518987342;0.0001000000;6;(x/1) - tan(x);bissection
7.7207031250;7.7265625000;7.7207031250;0.0758917278;0.0001000000;7;(x/1) - tan(x);bissection
7.7236328125;7.7265625000;7.7236328125;0.0379314705;0.0001000000;8;(x/1) - tan(x);bissection
7.7250976562;7.7265625000;7.7250976562;0.0189621389;0.0001000000;9;(x/1) - tan(x);bissection
7.7250976562;7.7258300781;7.7258300781;0.0094801706;0.0001000000;10;(x/1) - tan(x);bissection
7.7250976562;7.7254638672;7.7254638672;0.0047403100;0.0001000000;11;(x/1) - tan(x);bissection
7.7250976562;7.7252807617;7.7252807617;0.0023702112;0.0001000000;12;(x/1) - tan(x);bissection
10.4950000000;10.9900000000;10.4950000000;4.7165316818;0.0001000000;1;(x/1) - tan(x);bissection
10.7425000000;10.9900000000;10.7425000000;2.3039329765;0.0001000000;2;(x/1) - tan(x);bissection
10.8662500000;10.9900000000;10.8662500000;1.1388473484;0.0001000000;3;(x/1) - tan(x);bissection
10.8662500000;10.9281250000;10.9281250000;0.5661995997;0.0001000000;4;(x/1) - tan(x);bissection
10.8971875000;10.9281250000;10.8971875000;0.2839035302;0.0001000000;5;(x/1) - tan(x);bissection
10.8971875000;10.9126562500;10.9126562500;0.1417505477;0.0001000000;6;(x/1) - tan(x);bissection
10.8971875000;10.9049218750;10.9049218750;0.0709255425;0.0001000000;7;(x/1) - tan(x);bissection
10.9010546875;10.9049218750;10.9010546875;0.0354753518;0.0001000000;8;(x/1) - tan(x);bissection
10.9029882812;10.9049218750;10.9029882812;0.0177345302;0.0001000000;9;(x/1) - tan(x);bissection
10.9039550781;10.9049218750;10.9039550781;0.0088664789;0.0001000000;10;(x/1) - tan(x);bissection
10.9039550781;10.9044384766;10.9044384766;0.0044330429;0.0001000000;11;(x/1) - tan(x);bissection
10.9039550781;10.9041967773;10.9041967773;0.0022165706;0.0001000000;12;(x/1) - tan(x);bissection
13.5650000000;14.1300000000;13.5650000000;4.1651308515;0.0001000000;1;(x/1) - tan(x);bissection
13.8475000000;14.1300000000;13.8475000000;2.0400794367;0.0001000000;2;(x/1) - tan(x);bissection
13.9887500000;14.1300000000;13.9887500000;1.0097399696;0.0001000000;3;(x/1) - tan(x);bissection
14.0593750000;14.1300000000;14.0593750000;0.5023338520;0.0001000000;4;(x/1) - tan(x);bissection
14.0593750000;14.0946875000;14.0946875000;0.2505376582;0.0001000000;5;(x/1) - tan(x);bissection
14.0593750000;14.0770312500;14.0770312500;0.1254259487;0.0001000000;6;(x/1) - tan(x);bissection
14.0593750000;14.0682031250;14.0682031250;0.0627523282;0.0001000000;7;(x/1) - tan(x);bissection
14.0637890625;14.0682031250;14.0637890625;0.0313860118;0.0001000000;8;(x/1) - tan(x);bissection
14.0659960937;14.0682031250;14.0659960937;0.0156905436;0.0001000000;9;(x/1) - tan(x);bissection
14.0659960937;14.0670996094;14.0670996094;0.0078446564;0.0001000000;10;(x/1) - tan(x);bissection
14.0659960937;14.0665478516;14.0665478516;0.0039224820;0.0001000000;11;(x/1) - tan(x);bissection
14.0659960937;14.0662719727;14.0662719727;0.0019612795;0.0001000000;12;(x/1) - tan(x);bissection
16.6350000000;17.2700000000;16.6350000000;3.8172527803;0.0001000000;1;(x/1) - tan(x);bissection
16.9525000000;17.2700000000;16.9525000000;1.8728801062;0.0001000000;2;(x/1) - tan(x);bissection
17.1112500000;17.2700000000;17.1112500000;0.9277522098;0.0001000000;3;(x/1) - tan(x);bissection
17.1906250000;17.2700000000;17.1906250000;0.4617342301;0.0001000000;4;(x/1) - tan(x);bissection
17.1906250000;17.2303125000;17.2303125000;0.2303353465;0.0001000000;5;(x/1) - tan(x);bissection
17.2104687500;17.2303125000;17.2104687500;0.1153004621;0.0001000000;6;(x/1) - tan(x);bissection
17.2203906250;17.2303125000;17.2203906250;0.0576170147;0.0001000000;7;(x/1) - tan(x);bissection
17.2203906250;17.2253515625;17.2253515625;0.0288002104;0.0001000000;8;(x/1) - tan(x);bissection
17.2203906250;17.2228710937;17.2228710937;0.0144021792;0.0001000000;9;(x/1) - tan(x);bissection
