n,method,time,abs_error,rel_error
5.0,gauss_naive,4.9185000e-05 s,2.5912605e-12,2.5912605e-12
5.0,gauss_partial,4.6332000e-05 s,2.5912605e-12,2.5912605e-12
5.0,gauss_scaled,7.8075000e-05 s,2.5912605e-12,2.5912605e-12
5.0,gauss_complete,5.5351000e-05 s,2.5910385e-12,2.5910385e-12
9.0,gauss_naive,1.4083700e-04 s,1.6869114e-05,1.6869114e-05
9.0,gauss_partial,1.5298000e-04 s,1.6869083e-05,1.6869083e-05
9.0,gauss_scaled,1.9098500e-04 s,1.6869083e-05,1.6869083e-05
9.0,gauss_complete,2.0159700e-04 s,1.6869083e-05,1.6869083e-05
15.0,gauss_naive,5.3887200e-04 s,8.3550476e+00,8.3550476e+00
15.0,gauss_partial,5.8099900e-04 s,8.3127083e+00,8.3127083e+00
15.0,gauss_scaled,1.2205180e-03 s,8.3127083e+00,8.3127083e+00
15.0,gauss_complete,1.8664940e-03 s,8.3127083e+00,8.3127083e+00
